Fam PID1 PID2 TheoKinship
CO13 6 5 0.25
CO13 24 5 0.25
CO13 7 5 0.25
CO13 23 5 0.0625
CO13 7 6 0.25
CO13 24 6 0.25
CO13 23 6 0.0625
CO13 21 6 0.0625
CO13 24 7 0.25
CO13 21 7 0.0625
CO13 23 7 0.0625
CO13 21 24 0.0625
CO13 23 24 0.0625
CO13 23 21 0.0625
CO14 15 2 0.25
CO14 14 2 0.25
CO14 18 2 0.125
CO14 10 2 0.25
CO14 26 2 0.125
CO14 4 2 0.25
CO14 12 2 0.25
CO14 28 2 0.125
CO14 23 2 0.25
CO14 16 2 0.25
CO14 9 2 0.25
CO14 6 2 0.125
CO14 30 2 0.125
CO14 7 2 0.125
CO14 11 2 0.25
CO14 8 2 0.25
CO14 13 2 0.25
CO14 7 5 0.25
CO14 26 5 0.25
CO14 18 17 0.25
CO14 1 19 0.25
CO14 7 19 0.0625
CO14 21 19 0.25
CO14 12 19 0.125
CO14 9 19 0.125
CO14 22 19 0.25
CO14 26 19 0.0625
CO14 23 19 0.125
CO14 16 19 0.125
CO14 24 19 0.25
CO14 30 19 0.0625
CO14 4 19 0.125
CO14 6 19 0.0625
CO14 18 19 0.0625
CO14 8 19 0.125
CO14 15 19 0.125
CO14 28 19 0.0625
CO14 14 19 0.125
CO14 10 19 0.125
CO14 11 19 0.125
CO14 13 19 0.125
CO14 12 20 0.125
CO14 1 20 0.25
CO14 21 20 0.25
CO14 23 20 0.125
CO14 24 20 0.25
CO14 9 20 0.125
CO14 10 20 0.125
CO14 4 20 0.125
CO14 28 20 0.0625
CO14 6 20 0.0625
CO14 16 20 0.125
CO14 30 20 0.0625
CO14 26 20 0.0625
CO14 11 20 0.125
CO14 15 20 0.125
CO14 8 20 0.125
CO14 18 20 0.0625
CO14 7 20 0.0625
CO14 14 20 0.125
CO14 13 20 0.125
CO14 22 20 0.25
CO14 6 25 0.25
CO14 28 27 0.25
CO14 30 29 0.25
CO14 30 1 0.125
CO14 21 1 0.25
CO14 7 1 0.125
CO14 8 1 0.25
CO14 4 1 0.25
CO14 9 1 0.25
CO14 23 1 0.25
CO14 16 1 0.25
CO14 6 1 0.125
CO14 22 1 0.25
CO14 24 1 0.25
CO14 14 1 0.25
CO14 10 1 0.25
CO14 13 1 0.25
CO14 18 1 0.125
CO14 11 1 0.25
CO14 28 1 0.125
CO14 26 1 0.125
CO14 12 1 0.25
CO14 15 1 0.25
CO14 4 21 0.125
CO14 18 21 0.0625
CO14 8 21 0.125
CO14 7 21 0.0625
CO14 30 21 0.0625
CO14 10 21 0.125
CO14 12 21 0.125
CO14 15 21 0.125
CO14 24 21 0.25
CO14 16 21 0.125
CO14 11 21 0.125
CO14 22 21 0.25
CO14 6 21 0.0625
CO14 23 21 0.125
CO14 13 21 0.125
CO14 9 21 0.125
CO14 26 21 0.0625
CO14 14 21 0.125
CO14 28 21 0.0625
CO14 18 22 0.0625
CO14 16 22 0.125
CO14 10 22 0.125
CO14 23 22 0.125
CO14 12 22 0.125
CO14 30 22 0.0625
CO14 13 22 0.125
CO14 8 22 0.125
CO14 11 22 0.125
CO14 15 22 0.125
CO14 14 22 0.125
CO14 28 22 0.0625
CO14 4 22 0.125
CO14 26 22 0.0625
CO14 24 22 0.25
CO14 9 22 0.125
CO14 6 22 0.0625
CO14 7 22 0.0625
CO14 10 24 0.125
CO14 23 24 0.125
CO14 16 24 0.125
CO14 30 24 0.0625
CO14 26 24 0.0625
CO14 8 24 0.125
CO14 15 24 0.125
CO14 12 24 0.125
CO14 13 24 0.125
CO14 14 24 0.125
CO14 4 24 0.125
CO14 11 24 0.125
CO14 28 24 0.0625
CO14 7 24 0.0625
CO14 6 24 0.0625
CO14 9 24 0.125
CO14 18 24 0.0625
CO14 23 4 0.25
CO14 11 4 0.25
CO14 30 4 0.125
CO14 12 4 0.25
CO14 8 4 0.25
CO14 13 4 0.25
CO14 10 4 0.25
CO14 26 4 0.25
CO14 14 4 0.25
CO14 9 4 0.25
CO14 28 4 0.125
CO14 16 4 0.25
CO14 18 4 0.125
CO14 6 4 0.25
CO14 15 4 0.25
CO14 7 4 0.25
CO14 11 8 0.25
CO14 30 8 0.125
CO14 12 8 0.25
CO14 9 8 0.25
CO14 28 8 0.125
CO14 16 8 0.25
CO14 23 8 0.25
CO14 6 8 0.125
CO14 26 8 0.125
CO14 14 8 0.25
CO14 15 8 0.25
CO14 7 8 0.125
CO14 18 8 0.25
CO14 10 8 0.25
CO14 13 8 0.25
CO14 11 9 0.25
CO14 10 9 0.25
CO14 12 9 0.25
CO14 26 9 0.125
CO14 13 9 0.25
CO14 16 9 0.25
CO14 30 9 0.125
CO14 15 9 0.25
CO14 28 9 0.125
CO14 7 9 0.125
CO14 6 9 0.125
CO14 14 9 0.25
CO14 23 9 0.25
CO14 18 9 0.125
CO14 11 10 0.25
CO14 15 10 0.25
CO14 16 10 0.25
CO14 26 10 0.125
CO14 28 10 0.125
CO14 13 10 0.25
CO14 12 10 0.25
CO14 6 10 0.125
CO14 14 10 0.25
CO14 30 10 0.125
CO14 23 10 0.25
CO14 18 10 0.125
CO14 7 10 0.125
CO14 13 11 0.25
CO14 26 11 0.125
CO14 14 11 0.25
CO14 12 11 0.25
CO14 28 11 0.25
CO14 15 11 0.25
CO14 30 11 0.125
CO14 23 11 0.25
CO14 6 11 0.125
CO14 7 11 0.125
CO14 18 11 0.125
CO14 16 11 0.25
CO14 26 12 0.125
CO14 13 12 0.25
CO14 28 12 0.125
CO14 14 12 0.25
CO14 30 12 0.125
CO14 23 12 0.25
CO14 16 12 0.25
CO14 6 12 0.125
CO14 7 12 0.125
CO14 18 12 0.125
CO14 15 12 0.25
CO14 6 13 0.125
CO14 15 13 0.25
CO14 30 13 0.125
CO14 23 13 0.25
CO14 28 13 0.125
CO14 26 13 0.125
CO14 7 13 0.125
CO14 16 13 0.25
CO14 14 13 0.25
CO14 18 13 0.125
CO14 28 14 0.125
CO14 23 14 0.25
CO14 6 14 0.125
CO14 7 14 0.125
CO14 30 14 0.25
CO14 16 14 0.25
CO14 26 14 0.125
CO14 18 14 0.125
CO14 15 14 0.25
CO14 26 15 0.125
CO14 28 15 0.125
CO14 30 15 0.125
CO14 7 15 0.125
CO14 18 15 0.125
CO14 6 15 0.125
CO14 16 15 0.25
